commune,population,région
L'Abergement-Clémenciat,821,Auvergne-Rhône-Alpes
L'Abergement-de-Varey,268,Auvergne-Rhône-Alpes
Ambérieu-en-Bugey,14662,Auvergne-Rhône-Alpes
Ambérieux-en-Dombes,1806,Auvergne-Rhône-Alpes
Ambléon,113,Auvergne-Rhône-Alpes
Ambronay,2946,Auvergne-Rhône-Alpes
Ambutrix,781,Auvergne-Rhône-Alpes
Andert-et-Condon,332,Auvergne-Rhône-Alpes
Anglefort,1116,Auvergne-Rhône-Alpes
Apremont,379,Auvergne-Rhône-Alpes
Aranc,330,Auvergne-Rhône-Alpes
Arandas,147,Auvergne-Rhône-Alpes
Arbent,3427,Auvergne-Rhône-Alpes
Arboys en Bugey,678,Auvergne-Rhône-Alpes
Arbigny,467,Auvergne-Rhône-Alpes
Argis,456,Auvergne-Rhône-Alpes
Armix,30,Auvergne-Rhône-Alpes
Ars-sur-Formans,1520,Auvergne-Rhône-Alpes
Artemare,1229,Auvergne-Rhône-Alpes
Asnières-sur-Saône,76,Auvergne-Rhône-Alpes
Attignat,3365,Auvergne-Rhône-Alpes
Bâgé-Dommartin,4172,Auvergne-Rhône-Alpes
Bâgé-le-Châtel,1045,Auvergne-Rhône-Alpes
Balan,2699,Auvergne-Rhône-Alpes
Baneins,642,Auvergne-Rhône-Alpes
Beaupont,691,Auvergne-Rhône-Alpes
Beauregard,836,Auvergne-Rhône-Alpes
Bellignat,3905,Auvergne-Rhône-Alpes
Béligneux,3443,Auvergne-Rhône-Alpes
Valserhône,16770,Auvergne-Rhône-Alpes
Belley,9550,Auvergne-Rhône-Alpes
Belleydoux,316,Auvergne-Rhône-Alpes
Valromey-sur-Séran,1358,Auvergne-Rhône-Alpes
Bénonces,312,Auvergne-Rhône-Alpes
Bény,778,Auvergne-Rhône-Alpes
Béon,446,Auvergne-Rhône-Alpes
Béréziat,490,Auvergne-Rhône-Alpes
Bettant,768,Auvergne-Rhône-Alpes
Bey,298,Auvergne-Rhône-Alpes
Beynost,4943,Auvergne-Rhône-Alpes
Billiat,645,Auvergne-Rhône-Alpes
Birieux,288,Auvergne-Rhône-Alpes
Biziat,920,Auvergne-Rhône-Alpes
Blyes,1303,Auvergne-Rhône-Alpes
La Boisse,3412,Auvergne-Rhône-Alpes
Boissey,384,Auvergne-Rhône-Alpes
Bolozon,92,Auvergne-Rhône-Alpes
Bouligneux,338,Auvergne-Rhône-Alpes
Bourg-en-Bresse,43363,Auvergne-Rhône-Alpes
Bourg-Saint-Christophe,1517,Auvergne-Rhône-Alpes
Boyeux-Saint-Jérôme,355,Auvergne-Rhône-Alpes
Boz,530,Auvergne-Rhône-Alpes
Brégnier-Cordon,838,Auvergne-Rhône-Alpes
Brénod,505,Auvergne-Rhône-Alpes
Brens,1166,Auvergne-Rhône-Alpes
Bressolles,974,Auvergne-Rhône-Alpes
Brion,577,Auvergne-Rhône-Alpes
Briord,1114,Auvergne-Rhône-Alpes
Buellas,1889,Auvergne-Rhône-Alpes
La Burbanche,93,Auvergne-Rhône-Alpes
Ceignes,271,Auvergne-Rhône-Alpes
Cerdon,788,Auvergne-Rhône-Alpes
Certines,1553,Auvergne-Rhône-Alpes
Cessy,5168,Auvergne-Rhône-Alpes
Ceyzériat,3265,Auvergne-Rhône-Alpes
Ceyzérieu,1020,Auvergne-Rhône-Alpes
Chalamont,2612,Auvergne-Rhône-Alpes
Chaleins,1433,Auvergne-Rhône-Alpes
Chaley,125,Auvergne-Rhône-Alpes
Challes-la-Montagne,194,Auvergne-Rhône-Alpes
Challex,1631,Auvergne-Rhône-Alpes
Champagne-en-Valromey,852,Auvergne-Rhône-Alpes
Champdor-Corcelles,652,Auvergne-Rhône-Alpes
Champfromier,747,Auvergne-Rhône-Alpes
Chanay,652,Auvergne-Rhône-Alpes
Chaneins,982,Auvergne-Rhône-Alpes
Chanoz-Châtenay,940,Auvergne-Rhône-Alpes
La Chapelle-du-Châtelard,403,Auvergne-Rhône-Alpes
Charix,289,Auvergne-Rhône-Alpes
Charnoz-sur-Ain,930,Auvergne-Rhône-Alpes
Château-Gaillard,2303,Auvergne-Rhône-Alpes
Châtenay,367,Auvergne-Rhône-Alpes
Châtillon-la-Palud,1682,Auvergne-Rhône-Alpes
Châtillon-sur-Chalaronne,5171,Auvergne-Rhône-Alpes
Chavannes-sur-Reyssouze,773,Auvergne-Rhône-Alpes
Nivigne et Suran,861,Auvergne-Rhône-Alpes
Chaveyriat,1063,Auvergne-Rhône-Alpes
Chazey-Bons,1213,Auvergne-Rhône-Alpes
Chazey-sur-Ain,1650,Auvergne-Rhône-Alpes
Cheignieu-la-Balme,135,Auvergne-Rhône-Alpes
Chevillard,159,Auvergne-Rhône-Alpes
Chevroux,981,Auvergne-Rhône-Alpes
Chevry,2276,Auvergne-Rhône-Alpes
Chézery-Forens,464,Auvergne-Rhône-Alpes
Civrieux,1919,Auvergne-Rhône-Alpes
Cize,185,Auvergne-Rhône-Alpes
