verb,past.tense,regularity,consistency,imageability,RT,Z.Score,proportion.correct,proportion.reg.err
arise,arose,irregular,0.5,4.45161290322581,758.32,-0.02,0.741573033707865,0.089887640449438
backslide,backslid,irregular,1,3.6969696969697,828.91,0.41,0.647727272727273,0.227272727272727
become,became,irregular,0.17,3.80645161290323,773.91,0.16,0.908045977011494,0.011494252873563
befall,befell,irregular,0.13,2.1,879.82,0.72,0.738636363636364,0.102272727272727
begin,began,irregular,0.08,3.25806451612903,805.84,0.43,0.704545454545455,0.011363636363636
behold,beheld,irregular,0.4,3.33333333333333,799.7,0.25,0.850574712643678,0.068965517241379
beset,beset,irregular,0.38,2.25806451612903,859.95,0.62,0.67816091954023,0.137931034482759
bestride,bestrode,irregular,1,3.8695652173913,898.53,0.85,0.620689655172414,0.275862068965517
betake,betook,irregular,1,2.76666666666667,906.46,0.88,0.840909090909091,0.034090909090909
bind,bound,irregular,0.57,5.8,895.61,0.7,0.551724137931034,0.344827586206897
bite,bit,irregular,0.17,6.06451612903226,865.3,0.52,0.701149425287356,0.057471264367816
bleed,bled,irregular,0.44,5.70967741935484,749.52,0.02,0.955056179775281,0.01123595505618
blow,blew,irregular,0.19,5.51612903225807,830.79,0.39,0.781609195402299,0.022988505747127
break,broke,irregular,0.13,6.51724137931035,861.38,0.5,0.761363636363636,0.068181818181818
breastfeed,breastfed,irregular,1,5.67741935483871,889.85,0.69,0.931818181818182,0.011363636363636
breed,bred,irregular,0.44,4,805.05,0.17,0.875,0.079545454545455
bring,brought,irregular,0.06,4.7,813.96,0.35,0.681818181818182,0
build,built,irregular,0.5,5.86666666666667,782.62,0.23,0.842696629213483,0.101123595505618
burst,burst,irregular,0.5,5.51612903225807,805.89,0.24,0.719101123595506,0.258426966292135
buy,bought,irregular,0.06,5.64285714285714,852.04,0.58,0.897727272727273,0.068181818181818
cast,cast,irregular,0.33,4.16129032258065,701.34,-0.33,0.735632183908046,0.229885057471264
catch,caught,irregular,0.14,5.57142857142857,827.29,0.37,0.730337078651685,0.168539325842697
choose,chose,irregular,0.11,4.30769230769231,716.69,-0.2,0.852272727272727,0.022727272727273
cling,clung,irregular,0.5,5.09090909090909,777.41,0.2,0.818181818181818,0.079545454545455
come,came,irregular,0.09,4.18181818181818,813.89,0.34,0.883720930232558,0
creep,crept,irregular,0.43,4.48484848484848,796.53,0.19,0.681818181818182,0.181818181818182
cut,cut,irregular,0.25,5.87096774193548,838.03,0.39,0.818181818181818,0.147727272727273
deal,dealt,irregular,0.23,4.34615384615385,753.21,0.07,0.831460674157303,0.089887640449438
dig,dug,irregular,0.14,5.78571428571429,761.54,0.07,0.887640449438202,0.089887640449438
do,did,irregular,0.04,4.06451612903226,858.02,0.54,0.674157303370787,0
draw,drew,irregular,0.09,6,744.1,-0.01,0.784090909090909,0.022727272727273
drink,drank,irregular,0.29,6.06060606060606,834.68,0.4,0.732558139534884,0.023255813953488
drive,drove,irregular,0.43,5.73076923076923,821.04,0.33,0.808988764044944,0.02247191011236
eat,ate,irregular,0.1,6.23076923076923,885.16,0.71,0.813953488372093,0
fall,fell,irregular,0.06,5.26923076923077,860.57,0.47,0.784090909090909,0.079545454545455
feed,fed,irregular,0.44,6.06451612903226,740.26,0.02,0.954545454545455,0
feel,felt,irregular,0.23,4.30769230769231,771.57,0.16,0.942528735632184,0
fight,fought,irregular,0.09,6.16666666666667,830.22,0.49,0.921348314606742,0.01123595505618
find,found,irregular,0.57,4.73333333333333,802.85,0.23,0.897727272727273,0
flee,fled,irregular,0.1,4.80769230769231,840.49,0.51,0.625,0.181818181818182
fling,flung,irregular,0.5,5.33333333333333,786.03,0.19,0.747126436781609,0.057471264367816
forbear,forbore,irregular,1,3.61290322580645,841.57,0.62,0.466666666666667,0.066666666666667
foresee,foresaw,irregular,0.18,2.6969696969697,838.49,0.51,0.806818181818182,0.034090909090909
foretell,foretold,irregular,0.19,3.61290322580645,778.53,0.16,0.932584269662921,0.01123595505618
forget,forgot,irregular,0.13,3.83870967741935,782.91,0.18,0.919540229885057,0.022988505747127
forgive,forgave,irregular,0.5,4.07692307692308,710.84,-0.21,0.883720930232558,0.034883720930233
forsake,forsook,irregular,0.18,2.96774193548387,760.64,0.18,0.340909090909091,0.25
freeze,froze,irregular,0.11,6.13333333333333,754.77,0.07,0.829545454545455,0.079545454545455
get,got,irregular,0.07,3.83333333333333,851.96,0.49,0.842696629213483,0.056179775280899
give,gave,irregular,0.33,4.92857142857143,787.16,0.16,0.896551724137931,0.022988505747127
grow,grew,irregular,0.19,5.18181818181818,770.59,0.14,0.696629213483146,0.067415730337079
hide,hid,irregular,0.17,5.45161290322581,830.55,0.42,0.852272727272727,0.034090909090909
hit,hit,irregular,0.38,5.8125,820.63,0.44,0.727272727272727,0.079545454545455
hold,held,irregular,0.25,6,772.03,0.15,0.897727272727273,0.022727272727273
hurt,hurt,irregular,0.17,5.45454545454545,812.32,0.26,0.75,0.147727272727273
inlay,inlaid,irregular,1,3.80645161290323,748.15,-0.03,0.920454545454546,0
keep,kept,irregular,0.43,3.63333333333333,693.34,-0.29,0.921348314606742,0.033707865168539
know,knew,irregular,0.19,2.45454545454545,844.31,0.54,0.767441860465116,0.023255813953488
lead,lead,irregular,0.44,4.39285714285714,744.24,-0.05,0.943181818181818,0.011363636363636
leave,left,irregular,0.25,5.19354838709677,889.05,0.69,0.795454545454546,0.068181818181818
lend,lent,irregular,0.45,3.96428571428571,847.38,0.42,0.730337078651685,0.157303370786517
let,let,irregular,0.33,3.03225806451613,837.87,0.53,0.806818181818182,0.068181818181818
lose,lost,irregular,0.11,3.63333333333333,835.32,0.54,0.724137931034483,0.03448275862069
mean,meant,irregular,0.13,2.92307692307692,901.56,0.65,0.655172413793103,0.103448275862069
meet,met,irregular,0.1,5.11111111111111,770.99,0.09,0.862068965517241,0.022988505747127
mislead,mislead,irregular,0.47,2.78787878787879,709.72,-0.21,0.965909090909091,0
misread,misread,irregular,0.47,3.92307692307692,774.08,0.07,0.977272727272727,0.011363636363636
mistake,mistook,irregular,0.18,3.84615384615385,763.45,0.11,0.758620689655172,0.057471264367816
outdo,outdid,irregular,0.08,3.23333333333333,720.98,-0.2,0.704545454545455,0
outgrow,outgrew,irregular,0.23,4.03571428571429,695.97,-0.27,0.930232558139535,0
outrun,outran,irregular,0.33,5.03225806451613,712.26,-0.19,0.875,0.022727272727273
outsell,outsold,irregular,0.19,3.46666666666667,775.62,0.13,0.865168539325843,0.078651685393259
outshine,outshone,irregular,1,3.83870967741935,694.45,-0.28,0.827586206896552,0.126436781609195
overcome,overcame,irregular,1,3.74074074074074,692.13,-0.35,0.943820224719101,0
overdo,overdid,irregular,0.08,3.3030303030303,726.88,-0.18,0.659090909090909,0
overdraw,overdrew,irregular,1,2.75,771.13,0.01,0.775280898876405,0.02247191011236
overhang,overhung,irregular,1,3.96969696969697,703.41,-0.28,0.840909090909091,0.056818181818182
overhear,overheard,irregular,0.12,4.38709677419355,667.16,-0.4,0.942528735632184,0
override,overrode,irregular,1,3.06060606060606,726.05,-0.13,0.727272727272727,0.045454545454546
overrun,overran,irregular,1,4.24242424242424,719.92,-0.2,0.862068965517241,0.022988505747127
oversee,oversaw,irregular,1,3.3030303030303,722.06,-0.26,0.840909090909091,0.056818181818182
overshoot,overshot,irregular,1,4.16666666666667,734.7,-0.12,0.954545454545455,0.011363636363636
oversleep,overslept,irregular,1,4.38709677419355,675.79,-0.41,0.954545454545455,0
overtake,overtook,irregular,1,4.61538461538462,696.17,-0.3,0.931034482758621,0.011494252873563
overthrow,overthrew,irregular,1,4.45161290322581,688.97,-0.4,0.758620689655172,0.03448275862069
partake,partook,irregular,0.18,3.35483870967742,749.35,0.04,0.831460674157303,0.044943820224719
put,put,irregular,0.5,3.57575757575758,853.72,0.55,0.784090909090909,0.102272727272727
read,read,irregular,0.44,5.54545454545455,743.32,-0.02,0.977272727272727,0
rebuild,rebuilt,irregular,0.67,5.16129032258065,762.84,0.11,0.897727272727273,0.056818181818182
recast,recast,irregular,0.5,3,815.95,0.29,0.724137931034483,0.206896551724138
redo,redid,irregular,0.08,3.96153846153846,874.77,0.51,0.674157303370787,0.02247191011236
rend,rent,irregular,1,3.58064516129032,795.58,0.3,0.689655172413793,0.103448275862069
reset,reset,irregular,0.38,3.2,858,0.52,0.784090909090909,0.170454545454545
retell,retold,irregular,0.19,3.53333333333333,816.2,0.39,0.931818181818182,0.011363636363636
rethink,rethought,irregular,0.13,3.54838709677419,849.86,0.36,0.574712643678161,0.057471264367816
rewrite,rewrote,irregular,0.17,4.16129032258065,810.03,0.34,0.818181818181818,0
ride,rode,irregular,0.25,5.45454545454545,785.36,0.23,0.863636363636364,0.011363636363636
rise,rose,irregular,0.33,5.53571428571429,811.72,0.31,0.842696629213483,0.067415730337079
run,ran,irregular,0.2,6.18181818181818,737.16,-0.03,0.932584269662921,0.02247191011236
say,said,irregular,0.05,4.48484848484848,826.46,0.31,0.862068965517241,0.022988505747127
see,saw,irregular,0.1,5.03225806451613,779.86,0.14,0.898876404494382,0
seek,sought,irregular,0.07,4.13333333333333,834.69,0.52,0.633333333333333,0.2
sell,sold,irregular,0.13,5.11538461538462,756.51,0.07,0.897727272727273,0.034090909090909
send,sent,irregular,0.45,4.96428571428571,776.64,0.09,0.853932584269663,0.056179775280899
set,set,irregular,0.33,3.90322580645161,790.09,0.22,0.795454545454546,0.136363636363636
shake,shook,irregular,0.13,6.5,717.84,-0.19,0.853932584269663,0.056179775280899
shed,shed,irregular,0.42,4.76666666666667,742.64,-0.04,0.795454545454546,0.170454545454545
shoot,shot,irregular,0.11,5.46666666666667,740.23,-0.11,0.921348314606742,0.02247191011236
shut,shut,irregular,0.25,4.96774193548387,791.79,0.16,0.795454545454546,0.181818181818182
sit,sat,irregular,0.13,5.78787878787879,841.44,0.41,0.829545454545455,0.022727272727273
slay,slew,irregular,0.05,4.69230769230769,723.78,-0.11,0.696629213483146,0.101123595505618
sleep,slept,irregular,0.43,6.3,701.58,-0.26,0.943820224719101,0.01123595505618
sling,slung,irregular,0.5,4.70967741935484,768.45,0.06,0.852272727272727,0.045454545454546
slink,slunk,irregular,1,4.11111111111111,754.98,0.06,0.640449438202247,0.101123595505618
slit,slit,irregular,0.38,5.71428571428571,774.21,0.1,0.625,0.238636363636364
smite,smote,irregular,1,4.75862068965517,806.95,0.18,0.505747126436782,0.264367816091954
